ID, Domain, len, objs, valid_exe, invalid_exe
79, ferry, 47, 23, 0.9852426183020898, 0.941143650442257
80, ferry, 150, 24, 0.9852426183020898, 0.941143650442257
81, ferry, 233, 23, 0.9852426183020898, 0.941143650442257
82, ferry, 393, 19, 0.18721792880167892, 1.0
83, ferry, 47, 23, 0.9852426183020898, 0.941143650442257
84, ferry, 154, 24, 0.9852426183020898, 0.941143650442257
85, ferry, 240, 23, 0.9852426183020898, 0.941143650442257
86, ferry, 400, 19, 0.18721792880167892, 1.0
87, floortile, 10, 34, 0.10321982891333326, 1.0
88, floortile, 30, 36, 0.13338380920190018, 1.0
89, floortile, 50, 32, 0.14326456405399723, 1.0
90, floortile, 95, 28, 0.136646907871654, 1.0
91, floortile, 243, 28, 0.1548865014684614, 1.0
92, floortile, 493, 27, 0.1385777592998317, 1.0
93, floortile, 15, 34, 0.1257323440099658, 1.0
94, floortile, 45, 36, 0.1548865014684614, 1.0
95, floortile, 75, 32, 0.1470700132082694, 1.0
96, floortile, 140, 28, 0.1503331118780232, 1.0
97, floortile, 358, 28, 0.1576862863208838, 1.0
98, floortile, 731, 27, 0.14797553647565584, 1.0
99, floortile, 30, 34, 0.1498053098317664, 1.0
100, floortile, 90, 36, 0.1592200182488379, 1.0
101, floortile, 150, 32, 0.15040598999378826, 1.0
102, floortile, 260, 28, 0.1503331118780232, 1.0
103, floortile, 661, 28, 0.1778752110496517, 1.0
104, floortile, 50, 34, 0.1453247983570933, 1.0
105, floortile, 150, 36, 0.1498053098317664, 1.0
106, floortile, 250, 32, 0.150809111100368, 1.0
107, floortile, 420, 28, 0.1503331118780232, 1.0
108, floortile, 75, 34, 0.1453247983570933, 1.0
109, floortile, 225, 36, 0.1453247983570933, 1.0
110, floortile, 353, 32, 0.1518762955414995, 1.0
111, floortile, 598, 28, 0.1503331118780232, 1.0
112, floortile, 100, 34, 0.20745897627920276, 1.0
113, floortile, 300, 36, 0.15901100236346255, 1.0
114, floortile, 453, 32, 0.2092833897320285, 1.0
115, floortile, 771, 28, 0.1503331118780232, 1.0
116, miconic, 10, 19, 0.4080328345625112, 1.0
117, miconic, 30, 20, 0.5661568344609896, 0.9952020202020202
118, miconic, 44, 19, 0.4086656932324093, 0.9991919191919192
119, miconic, 82, 16, 0.29173154324976125, 0.9984848484848485
120, miconic, 212, 15, 0.6489258953690287, 0.9952020202020202
121, miconic, 409, 14, 0.19915024108398222, 1.0
122, miconic, 15, 19, 0.5769368506356042, 0.9952020202020202
123, miconic, 44, 20, 0.7250609816128881, 0.9944444444444445
124, miconic, 63, 19, 0.19624926216816505, 1.0
125, miconic, 115, 16, 0.29173154324976125, 0.9984848484848485
126, miconic, 283, 15, 0.6489258953690287, 0.9952020202020202
127, miconic, 530, 14, 0.19915024108398222, 1.0
128, miconic, 20, 19, 0.7250609816128881, 0.9944444444444445
129, miconic, 64, 20, 0.7250609816128881, 0.9944444444444445
130, miconic, 98, 19, 0.5753166864444271, 0.9968181818181817
131, miconic, 167, 16, 0.29173154324976125, 0.9984848484848485
132, miconic, 391, 15, 0.6489258953690287, 0.9952020202020202
133, miconic, 20, 19, 0.7250609816128881, 0.9944444444444445
134, miconic, 67, 20, 0.8386507464692472, 0.9859636771757985
135, miconic, 106, 19, 0.5753166864444271, 0.9968181818181817
136, miconic, 175, 16, 0.29173154324976125, 0.9984848484848485
137, miconic, 20, 19, 0.7250609816128881, 0.9944444444444445
138, miconic, 67, 20, 0.8386507464692472, 0.9859636771757985
139, miconic, 106, 19, 0.5753166864444271, 0.9968181818181817
140, miconic, 175, 16, 0.29173154324976125, 0.9984848484848485
141, miconic, 20, 19, 0.7250609816128881, 0.9944444444444445
142, miconic, 67, 20, 0.8386507464692472, 0.9859636771757985
143, miconic, 106, 19, 0.5753166864444271, 0.9968181818181817
144, miconic, 175, 16, 0.29173154324976125, 0.9984848484848485
145, rovers, 10, 28, 0.1666599267323572, 1.0
146, rovers, 30, 28, 0.30278494400577743, 0.9938584984039529
147, rovers, 50, 26, 0, 0
148, rovers, 100, 23, 0, 0
149, rovers, 250, 22, 0, 0
150, rovers, 494, 21, 0, 0
151, rovers, 15, 28, 0, 0
152, rovers, 45, 28, 0.24468433907875412, 1.0
153, rovers, 72, 26, 0, 0
154, rovers, 142, 23, 0, 0
155, rovers, 358, 22, 0, 0
156, rovers, 712, 21, 0, 0
157, rovers, 30, 28, 0, 0
158, rovers, 90, 28, 0, 0
159, rovers, 132, 26, 0, 0
160, rovers, 237, 23, 0, 0
161, rovers, 589, 22, 0, 0
162, rovers, 30, 28, 0, 0
163, rovers, 124, 28, 0, 0
164, rovers, 186, 26, 0, 0
165, rovers, 311, 23, 0, 0
166, rovers, 30, 28, 0, 0
167, rovers, 149, 28, 0, 0
168, rovers, 236, 26, 0, 0
169, rovers, 386, 23, 0, 0
170, rovers, 30, 28, 0, 0
171, rovers, 174, 28, 0, 0
172, rovers, 286, 26, 0, 0
173, rovers, 442, 23, 0, 0
174, satellite, 10, 30, 0.06981546876982055, 1.0
175, satellite, 30, 31, 0.09532484777841403, 1.0
176, satellite, 50, 30, 0.10923211285003857, 0.9991341991341991
177, satellite, 96, 25, 0.06972693819998663, 1.0
178, satellite, 246, 24, 0.08186224881409145, 1.0
179, satellite, 496, 23, 0.08712651864341547, 1.0
180, satellite, 15, 30, 0.5371813402670391, 0.9964502164502165
181, satellite, 45, 31, 0.054387614325854206, 1.0
182, satellite, 75, 30, 0.12920686746068924, 1.0
183, satellite, 141, 25, 0.06972693819998663, 1.0
184, satellite, 366, 24, 0.0840973215555902, 1.0
185, satellite, 741, 23, 0.07268590235001687, 1.0
186, satellite, 30, 30, 0.355911302799082, 1.0
187, satellite, 90, 31, 0.355911302799082, 1.0
188, satellite, 150, 30, 0.9321277967389989, 0.9867136754176364
189, satellite, 276, 25, 0.06972693819998663, 1.0
190, satellite, 711, 24, 0.09300327493725095, 1.0
191, satellite, 50, 30, 0.4803573507616205, 0.9982363315696648
192, satellite, 150, 31, 0.3583663936708036, 1.0
193, satellite, 248, 30, 0.4699360231538847, 0.9982363315696648
194, satellite, 440, 25, 0.06972693819998663, 1.0
195, satellite, 75, 30, 0.9321277967389989, 0.9867136754176364
196, satellite, 225, 31, 0.4803573507616205, 0.9982363315696648
197, satellite, 348, 30, 0.4803573507616205, 0.9982363315696648
198, satellite, 615, 25, 0.06972693819998663, 1.0
199, satellite, 100, 30, 0.4803573507616205, 0.9982363315696648
200, satellite, 300, 31, 0.9321277967389989, 0.9867136754176364
201, satellite, 448, 30, 0.4803573507616205, 0.9982363315696648
202, satellite, 790, 25, 0.06972693819998663, 1.0
203, sokoban, 10, 128, 0.3830017847438288, 0.993395061728395
204, sokoban, 29, 130, 0.5455733001743981, 0.98334455667789
205, sokoban, 45, 127, 0.5455733001743981, 0.98334455667789
206, sokoban, 88, 113, 0.12780875755481116, 0.9992424242424243
207, sokoban, 229, 108, 0.7881802437605544, 0.9076209771515382
