ID, Domain, len, len%, valid_acceptance, invalid_acceptance
150, childsnack, 10, 0.004655493482309125, 0.0, 0.0
151, childsnack, 10, 0.004655493482309125, 0.0, 0.0
152, childsnack, 10, 0.004655493482309125, 0.0, 0.0
153, childsnack, 10, 0.004655493482309125, 0.0, 0.0
154, childsnack, 10, 0.004655493482309125, 0.0, 0.0
155, childsnack, 50, 0.023277467411545624, 0.05102040816326531, 0.018057735914878772
156, childsnack, 48, 0.0223463687150838, 0.15306122448979592, 0.018874934589220304
157, childsnack, 40, 0.0186219739292365, 0.0, 0.0
158, childsnack, 46, 0.021415270018621976, 1.0, 0.13598028955171812
159, childsnack, 47, 0.021880819366852888, 1.0, 0.13598028955171812
160, childsnack, 50, 0.023277467411545624, 0.15306122448979592, 0.015262515262515262
161, childsnack, 50, 0.023277467411545624, 1.0, 0.13598028955171812
162, childsnack, 48, 0.0223463687150838, 0.05102040816326531, 0.018057735914878772
163, childsnack, 44, 0.020484171322160148, 1.0, 0.13598028955171812
164, childsnack, 47, 0.021880819366852888, 1.0, 0.13598028955171812
165, childsnack, 100, 0.04655493482309125, 0.15306122448979592, 0.015262515262515262
166, childsnack, 90, 0.04189944134078212, 1.0, 0.13598028955171812
167, childsnack, 98, 0.04562383612662942, 1.0, 0.13598028955171812
168, childsnack, 96, 0.0446927374301676, 1.0, 0.13598028955171812
169, childsnack, 97, 0.04515828677839851, 1.0, 0.13598028955171812
170, childsnack, 100, 0.04655493482309125, 0.15306122448979592, 0.015262515262515262
171, childsnack, 98, 0.04562383612662942, 0.15306122448979592, 0.018874934589220304
172, childsnack, 94, 0.043761638733705775, 1.0, 0.13598028955171812
173, childsnack, 100, 0.04655493482309125, 1.0, 0.13598028955171812
174, childsnack, 100, 0.04655493482309125, 0.0, 0.0
175, childsnack, 18, 0.008379888268156424, 0.3469387755102041, 0.04190127332984476
176, childsnack, 11, 0.005121042830540037, 0.3469387755102041, 0.04190127332984476
177, childsnack, 20, 0.00931098696461825, 1.0, 0.13598028955171812
178, childsnack, 18, 0.008379888268156424, 0.3469387755102041, 0.04190127332984476
179, childsnack, 20, 0.00931098696461825, 1.0, 0.12396825396825396
180, childsnack, 20, 0.00931098696461825, 1.0, 0.13598028955171812
181, childsnack, 15, 0.006983240223463687, 0.15306122448979592, 0.013467643467643467
182, childsnack, 15, 0.006983240223463687, 0.15306122448979592, 0.013467643467643467
183, childsnack, 20, 0.00931098696461825, 1.0, 0.13598028955171812
184, childsnack, 88, 0.040968342644320296, 1.0, 0.13598028955171812
185, childsnack, 95, 0.04422718808193669, 1.0, 0.13598028955171812
186, childsnack, 85, 0.03957169459962756, 1.0, 0.13598028955171812
187, childsnack, 82, 0.038175046554934824, 1.0, 0.13598028955171812
188, childsnack, 88, 0.040968342644320296, 1.0, 0.13598028955171812
189, childsnack, 95, 0.04422718808193669, 1.0, 0.13598028955171812
190, childsnack, 79, 0.03677839851024209, 1.0, 0.13598028955171812
191, childsnack, 81, 0.03770949720670391, 1.0, 0.13598028955171812
192, childsnack, 100, 0.04655493482309125, 1.0, 0.13598028955171812
193, childsnack, 88, 0.040968342644320296, 1.0, 0.13598028955171812
194, childsnack, 165, 0.07681564245810056, 1.0, 0.13598028955171812
195, childsnack, 179, 0.08333333333333333, 1.0, 0.13598028955171812
196, childsnack, 181, 0.08426443202979515, 1.0, 0.13598028955171812
197, childsnack, 161, 0.07495344506517691, 1.0, 0.13598028955171812
198, childsnack, 169, 0.07867783985102421, 1.0, 0.13598028955171812
199, childsnack, 180, 0.08379888268156424, 1.0, 0.13598028955171812
200, childsnack, 186, 0.08659217877094973, 1.0, 0.13598028955171812
201, childsnack, 159, 0.07402234636871509, 1.0, 0.13598028955171812
202, childsnack, 191, 0.08891992551210429, 1.0, 0.13598028955171812
203, childsnack, 186, 0.08659217877094973, 1.0, 0.13598028955171812
204, childsnack, 18, 0.008379888268156424, 0.3469387755102041, 0.04190127332984476
205, childsnack, 24, 0.0111731843575419, 1.0, 0.13598028955171812
206, childsnack, 18, 0.008379888268156424, 0.3469387755102041, 0.04190127332984476
