ID, Domain, len, len%, acceptance_rate, invalid_acceptance_rate
354, ferry, 30, 0.008192244675040962, 1.0, 0.0
355, ferry, 30, 0.008192244675040962, 1.0, 0.0
356, ferry, 30, 0.008192244675040962, 1.0, 0.0
357, ferry, 7, 0.0019115237575095577, 1.0, 0.0
358, ferry, 30, 0.008192244675040962, 1.0, 0.0
359, ferry, 8, 0.002184598580010923, 1.0, 0.0
360, ferry, 30, 0.008192244675040962, 1.0, 0.0
361, ferry, 30, 0.008192244675040962, 1.0, 0.0
362, ferry, 30, 0.008192244675040962, 1.0, 0.0
363, ferry, 28, 0.007646095030038231, 1.0, 0.0
364, ferry, 103, 0.028126706717640632, 1.0, 0.0
365, ferry, 101, 0.0275805570726379, 1.0, 0.0
366, ferry, 150, 0.0409612233752048, 1.0, 0.0
367, ferry, 110, 0.030038230475150193, 1.0, 0.0
368, ferry, 142, 0.038776624795193886, 1.0, 0.0
369, ferry, 98, 0.026761332605133806, 1.0, 0.0
370, ferry, 105, 0.028672856362643363, 1.0, 0.0
371, ferry, 120, 0.03276897870016385, 1.0, 0.0
372, ferry, 131, 0.03577280174767886, 1.0, 0.0
373, ferry, 125, 0.034134352812670674, 1.0, 0.0
374, ferry, 252, 0.06881485527034407, 1.0, 0.0
375, ferry, 214, 0.05843801201529219, 1.0, 0.0
376, ferry, 221, 0.06034953577280175, 1.0, 0.0
377, ferry, 263, 0.0718186783178591, 1.0, 0.0
378, ferry, 199, 0.05434188967777171, 1.0, 0.0
379, ferry, 228, 0.0622610595303113, 1.0, 0.0
380, ferry, 243, 0.06635718186783178, 1.0, 0.0
381, ferry, 213, 0.058164937192790825, 1.0, 0.0
382, ferry, 190, 0.05188421627525942, 1.0, 0.0
383, ferry, 214, 0.05843801201529219, 1.0, 0.0
384, ferry, 18, 0.004915346805024577, 1.0, 0.0
385, ferry, 50, 0.013653741125068269, 1.0, 0.0
386, ferry, 50, 0.013653741125068269, 1.0, 0.0
387, ferry, 50, 0.013653741125068269, 1.0, 0.0
388, ferry, 31, 0.008465319497542327, 1.0, 0.0
389, ferry, 35, 0.009557618787547788, 1.0, 0.0
390, ferry, 47, 0.012834516657564172, 1.0, 0.0
391, ferry, 31, 0.008465319497542327, 1.0, 0.0
392, ferry, 32, 0.008738394320043691, 1.0, 0.0
393, ferry, 176, 0.0480611687602403, 1.0, 0.0
394, ferry, 90, 0.024576734025122882, 1.0, 0.0
395, ferry, 175, 0.04778809393773894, 1.0, 0.0
396, ferry, 218, 0.05953031130529765, 1.0, 0.0
397, ferry, 143, 0.03904969961769525, 1.0, 0.0
398, ferry, 164, 0.04478427089022392, 1.0, 0.0
399, ferry, 163, 0.04451119606772255, 1.0, 0.0
400, ferry, 74, 0.020207536865101038, 1.0, 0.0
401, ferry, 190, 0.05188421627525942, 1.0, 0.0
402, ferry, 132, 0.03604587657018023, 1.0, 0.0
403, ferry, 333, 0.09093391589295467, 1.0, 0.0
404, ferry, 302, 0.08246859639541235, 1.0, 0.0
405, ferry, 314, 0.08574549426542873, 1.0, 0.0
406, ferry, 274, 0.07482250136537412, 1.0, 0.0
407, ferry, 315, 0.0860185690879301, 1.0, 0.0
408, ferry, 229, 0.06253413435281267, 1.0, 0.0
409, ferry, 308, 0.08410704533042053, 1.0, 0.0
410, ferry, 294, 0.08028399781540142, 1.0, 0.0
411, ferry, 289, 0.0789186237028946, 1.0, 0.0
412, ferry, 284, 0.07755324959038777, 1.0, 0.0
413, ferry, 47, 0.012834516657564172, 1.0, 0.0
414, ferry, 43, 0.011742217367558712, 1.0, 0.0
415, ferry, 7, 0.0019115237575095577, 1.0, 0.0
416, ferry, 71, 0.019388312397596943, 1.0, 0.0
417, ferry, 16, 0.004369197160021846, 1.0, 0.0
418, ferry, 47, 0.012834516657564172, 1.0, 0.0
419, ferry, 71, 0.019388312397596943, 1.0, 0.0
420, ferry, 43, 0.011742217367558712, 1.0, 0.0
