ID, Domain, len, len%, valid_exe, invalid_exe
85, blocksworld, 50, 0.010092854259184497, 0.33050171617643026, 0.9885521885521885
86, blocksworld, 50, 0.010092854259184497, 0.40972934333723154, 0.9870707070707071
87, blocksworld, 50, 0.010092854259184497, 0.40972934333723154, 0.9870707070707071
88, blocksworld, 50, 0.010092854259184497, 0.4390826220857631, 0.9854545454545455
89, blocksworld, 122, 0.024626564392410174, 0.4390826220857631, 0.9854545454545455
90, blocksworld, 136, 0.027452563584981833, 0.4390826220857631, 0.9854545454545455
91, blocksworld, 136, 0.027452563584981833, 0.4390826220857631, 0.9854545454545455
92, blocksworld, 66, 0.013322567622123537, 0.39955124583067786, 0.9819528619528619
93, blocksworld, 100, 0.020185708518368994, 0.4390826220857631, 0.9854545454545455
94, blocksworld, 198, 0.03996770286637061, 0.4390826220857631, 0.9854545454545455
95, blocksworld, 220, 0.04440855874041179, 0.4390826220857631, 0.9854545454545455
96, blocksworld, 128, 0.025837706903512312, 0.4147834429608808, 0.9854545454545455
97, blocksworld, 144, 0.029067420266451354, 0.4390826220857631, 0.9854545454545455
98, blocksworld, 114, 0.023011707710940653, 0.40513898181553243, 0.9854545454545455
99, blocksworld, 378, 0.0763019781994348, 0.4390826220857631, 0.9854545454545455
100, blocksworld, 390, 0.07872426322163908, 0.41375391405604867, 0.9835690235690235
101, blocksworld, 374, 0.07549454985870004, 0.39955124583067786, 0.9819528619528619
102, blocksworld, 328, 0.0662091239402503, 0.4147834429608808, 0.9854545454545455
103, blocksworld, 318, 0.0641905530884134, 0.40972934333723154, 0.9870707070707071
104, blocksworld, 30, 0.006055712555510699, 0.4390826220857631, 0.9854545454545455
105, blocksworld, 24, 0.004844570044408559, 0.40513898181553243, 0.9854545454545455
106, blocksworld, 75, 0.015139281388776746, 0.4390826220857631, 0.9854545454545455
107, blocksworld, 75, 0.015139281388776746, 0.38740779269111536, 0.9854545454545455
108, blocksworld, 16, 0.003229713362939039, 0.4390826220857631, 0.9854545454545455
109, blocksworld, 135, 0.027250706499798143, 0.39955124583067786, 0.9819528619528619
110, blocksworld, 127, 0.025635849818328622, 0.43783288493660827, 0.9870707070707071
111, blocksworld, 145, 0.029269277351635044, 0.4147834429608808, 0.9854545454545455
112, blocksworld, 118, 0.023819136051675415, 0.4390826220857631, 0.9854545454545455
113, blocksworld, 197, 0.03976584578118692, 0.4390826220857631, 0.9854545454545455
114, blocksworld, 181, 0.03653613241824788, 0.4390826220857631, 0.9854545454545455
115, blocksworld, 106, 0.021396851029471135, 0.43783288493660827, 0.9870707070707071
116, blocksworld, 246, 0.04965684295518773, 0.4390826220857631, 0.9854545454545455
117, blocksworld, 180, 0.036334275333064193, 0.4390826220857631, 0.9854545454545455
118, blocksworld, 177, 0.03572870407751312, 0.4390826220857631, 0.9854545454545455
119, blocksworld, 443, 0.08942268873637464, 0.4390826220857631, 0.9854545454545455
120, blocksworld, 405, 0.08175211949939443, 0.4390826220857631, 0.9854545454545455
121, blocksworld, 500, 0.10092854259184497, 0.40513898181553243, 0.9854545454545455
122, blocksworld, 547, 0.1104158255954784, 0.4390826220857631, 0.9854545454545455
123, blocksworld, 391, 0.07892612030682276, 0.4390826220857631, 0.9854545454545455
124, blocksworld, 62, 0.012515139281388777, 0.4147834429608808, 0.9854545454545455
125, blocksworld, 100, 0.020185708518368994, 0.4390826220857631, 0.9854545454545455
126, blocksworld, 44, 0.008881711748082357, 0.4390826220857631, 0.9854545454545455
127, blocksworld, 36, 0.0072668550666128385, 0.4390826220857631, 0.9854545454545455
128, blocksworld, 94, 0.018974566007266856, 0.4390826220857631, 0.9854545454545455
129, blocksworld, 130, 0.02624142107387969, 0.4390826220857631, 0.9854545454545455
